epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1057.37,1.70416,2.89371,1.16621,0.69088,0.37883,0.35097,0.22319,0.99741,1.29943,0.93614,0.000206897,0.000206897,0.000206897
2,2146.53,1.4345,1.50491,1.04609,0.7247,0.44357,0.48066,0.319,1.03214,1.19122,0.91525,0.000407008,0.000407008,0.000407008
3,3232.5,1.35081,1.2307,1.01025,0.85224,0.46705,0.48622,0.30028,1.03319,1.1612,0.90502,0.00059887,0.00059887,0.00059887
