epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
35,3199,1.35706,0.9767,1.012,0.72015,0.70715,0.75769,0.49049,1.21236,0.89135,0.9624,0.00478963,0.00478963,0.00478963
36,3291.26,1.34585,0.95661,1.03122,0.7413,0.64786,0.75588,0.46915,1.22368,0.98875,0.96464,0.00478344,0.00478344,0.00478344
37,3381.49,1.34446,0.95703,1.03259,0.72711,0.68988,0.68656,0.42959,1.15174,0.87534,0.93308,0.00477725,0.00477725,0.00477725
38,3472.69,1.33558,1.03168,1.04024,0.77132,0.42725,0.55027,0.32421,1.90878,1.81224,1.15633,0.00477106,0.00477106,0.00477106
39,3561.7,1.31474,0.9285,1.03384,0.785,0.46723,0.59244,0.38609,1.4265,1.37798,1.01184,0.00476488,0.00476488,0.00476488
40,3650.74,1.35491,0.94866,1.0409,0.81807,0.58703,0.72022,0.47383,1.12578,0.89667,0.94329,0.00475869,0.00475869,0.00475869
41,3740.6,1.35872,1.00363,1.06515,0.79625,0.67347,0.78349,0.52315,1.1047,0.86334,0.93332,0.0047525,0.0047525,0.0047525
42,3830.59,1.30975,0.86889,1.02162,0.70376,0.6416,0.62854,0.42303,1.17116,0.9101,0.94664,0.00474631,0.00474631,0.00474631
43,3930.16,1.28148,1.05967,1.021,0.7148,0.64859,0.652,0.42899,1.20075,0.87403,0.95104,0.00474013,0.00474013,0.00474013
44,4021.69,1.26019,0.92198,0.99098,0.57985,0.70289,0.6654,0.41927,1.23112,1.03579,0.96738,0.00473394,0.00473394,0.00473394
45,4114.4,1.32325,0.91109,1.01567,0.69765,0.71656,0.75365,0.50379,1.14726,0.85276,0.94658,0.00472775,0.00472775,0.00472775
46,4204.67,1.27872,0.88083,1.00587,0.76438,0.43606,0.56754,0.34029,1.57393,2.17052,1.10559,0.00472156,0.00472156,0.00472156
47,4294.23,1.31107,0.97763,1.01775,0.78235,0.63873,0.64046,0.41258,1.22645,0.86033,0.96654,0.00471537,0.00471537,0.00471537
48,4384.94,1.34407,0.90931,1.00202,0.67947,0.60864,0.6458,0.40201,1.17987,0.89553,0.96632,0.00470919,0.00470919,0.00470919
49,4475.49,1.30338,0.90839,1.01202,0.76859,0.62289,0.69578,0.44383,1.13977,0.74222,0.93486,0.004703,0.004703,0.004703
50,4566.06,1.29666,0.98341,1.03386,0.70633,0.7102,0.69892,0.46521,1.13166,0.77999,0.93114,0.00469681,0.00469681,0.00469681
51,4655.87,1.27453,0.84265,1.01382,0.81566,0.54286,0.5748,0.38823,1.16701,0.99603,0.95295,0.00469063,0.00469063,0.00469063
52,4743.77,1.29822,0.94673,1.0107,0.79008,0.62636,0.74845,0.52321,1.1279,0.76982,0.94789,0.00468444,0.00468444,0.00468444
53,4830.41,1.26675,0.83391,0.99817,0.65096,0.77257,0.7134,0.4757,1.2124,0.85286,0.95148,0.00467825,0.00467825,0.00467825
